
 python3-flask-restful, 0.3.9, BSD-2-Clause
 python3-flask-wtf, 0.15.1, BSD-3-Clause
 python3-gbulb, 0.6.4, Apache-2.0
 python3-gi, 3.42.1, LGPL-2.1-or-later
 python3-gunicorn, 20.1.0, MIT
 python3-gw-watchdog, 0.1.6, GPL-3.0-or-later
 python3-gw4xxx-con-check, 0.3.0, ignore
 python3-gw4xxx-flask, 0.1.11, GPL-3.0-or-later
 python3-gw4xxx-gps-ctrl, 0.1.2, ignore
 python3-gw4xxx-gwmqtt, 0.16.2, ignore
 python3-gw4xxx-hal, 0.3.15, GPL-3.0-or-later
 python3-gw4xxx-launcher, 0.3.0, GPL-3.0-or-later
 python3-idna, 2.10, BSD-3-Clause
 python3-importlib-metadata, 2.0.0, Apache
 python3-iniconfig, 1.0.0, Apache
 python3-iniherit, 0.3.9, MIT
 python3-ipython, 4.1.1, BSD-3-Clause
 python3-ipython-genutils, 0.1.0, BSD-3-Clause
 python3-itsdangerous, 2.1.2, BSD-3-Clause
 python3-jinja2, 3.1.3, BSD-3-Clause
 python3-json-config, 0.1.1, GPL-3.0-or-later
 python3-jsonpath-rw, 1.4.0, Apache-2.0
 python3-jsonrpc, 0.1.0, ignore
 python3-lxml, 4.9.2, BSD
 python3-mako, 1.3.2, MIT
 python3-markupsafe, 2.1.5, BSD-3-Clause
 python3-modbus-server, 0.2.2, ignore
 python3-more-itertools, 8.4.0, MIT
 python3-multidict, 4.7.6, Apache-2.0
 python3-netifaces, 0.11.0, MIT
 python3-opcua, 0.98.7, LGPL-3.0-only
 python3-packaging, 20.4, BSD-2-Clause OR Apache-2.0
 python3-paho-mqtt, 1.6.1, EPL-2.0 OR BSD-3-Clause
 python3-paramiko, 3.4.0, LGPL-3.0-or-later
 python3-path-py, 8.1.2, MIT
 python3-peewee, 3.17.6, MIT
 python3-pexpect, 4.8.0, ISC
 python3-pickleshare, 0.6, MIT
 python3-ping3, 4.0.8, MIT
 python3-pluggy, 0.13.1, MIT
 python3-ply, 3.11, BSD
 python3-psutil, 5.7.2, BSD-3-Clause
 python3-ptyprocess, 0.6.0, ISC
 python3-py, 1.9.0, MIT
 python3-pycparser, 2.21, BSD-3-Clause
 python3-pycryptodome, 3.18.0, BSD-2-Clause Unlicense
 python3-pydbus, 0.6.0, Apache
 python3-pyjwt, 1.7.1, MIT
 python3-pymeterbus, 0.8.3, BSD-3-Clause
 python3-pymodbus, 2.5.3, BSD-3-Clause
 python3-pyparsing, 2.4.7, MIT
 python3-pyroute2, 0.5.14, BSD
